scenario,workload,policy,avg_latency_ms_mean,avg_latency_ms_std,overall_hit_rate_mean,overall_hit_rate_std,miss_count_mean,miss_count_std,bytes_moved_mean,bytes_moved_std,eviction_count_mean,eviction_count_std
constrained,adversarial_burst,cost_aware,6.006443958333335,0.09158114549124567,0.04218749999999968,0.009757809372496939,613.0,6.244997998398398,8747715.333333334,79646.33426174308,1457.0,12.767145334803704
constrained,adversarial_burst,lru,6.152769427083335,0.09523520948581576,0.0,0.0,640.0,0.0,9274634.0,46632.63316605658,1555.6666666666667,6.6583281184793615
constrained,adversarial_burst,regret_aware_w1.0_h24,5.96537549479167,0.08498695254082791,0.046354166666666335,0.008884751098558468,610.3333333333334,5.686240703077323,8694531.333333334,76402.7499592346,1447.3333333333333,13.503086067019394
constrained,adversarial_burst,regret_aware_w1.0_h64,5.940251328125004,0.140501694981667,0.04531249999999934,0.008699631816922,611.0,5.5677643628300215,8691855.333333334,86257.06014775428,1446.0,14.798648586948742
constrained,adversarial_burst,regret_aware_w1.0_h8,5.996666302083335,0.08573144782728032,0.04374999999999967,0.008118988160478539,612.0,5.196152422706632,8740840.666666666,74416.95802257273,1456.6666666666667,12.66227994214838
constrained,adversarial_burst,regret_aware_w12.0_h24,6.000797526041666,0.05539014180591133,0.03906249999999934,0.008267972847077034,615.0,5.291502622129181,8766244.666666666,106176.4202134042,1460.0,15.874507866387544
constrained,adversarial_burst,regret_aware_w12.0_h64,5.7823800520833375,0.06591834164697619,0.04687499999999967,0.0071602745233680645,610.0,4.58257569495584,8619198.0,59894.76674969192,1430.0,7.810249675906654
constrained,adversarial_burst,regret_aware_w12.0_h8,6.05322591145833,0.07414367720640044,0.03229166666666634,0.0065052062483312665,619.3333333333334,4.163331998932249,8830848.666666666,105754.01693237656,1471.0,17.52141546793523
constrained,adversarial_burst,regret_aware_w6.0_h24,5.958649114583331,0.08340724190244844,0.046874999999999334,0.008267972847077035,610.0,5.291502622129181,8691212.666666666,121882.80090863271,1447.0,20.29778313018444
constrained,adversarial_burst,regret_aware_w6.0_h64,5.856998645833336,0.09020780335216505,0.04791666666666634,0.009547032697825211,609.3333333333334,6.110100926607771,8633259.333333334,48812.896096557415,1434.0,4.58257569495584
constrained,adversarial_burst,regret_aware_w6.0_h8,6.040958203125002,0.06457340684288702,0.04531249999999934,0.0093750000000005,611.0,6.0,8749891.333333334,95595.47458605605,1459.6666666666667,14.294521094927687
constrained,chat_continuation,cost_aware,0.49008710937499966,0.12178107641586104,0.5169270833333334,0.08010987683510977,247.33333333333334,41.01625693957621,2167426.0,405234.3844789087,282.0,61.02458520956943
constrained,chat_continuation,lru,0.350589778645834,0.027474830000100068,0.65625,0.03901364131921519,176.0,19.974984355438178,1454718.0,139089.09139109365,180.33333333333334,17.00980109623077
constrained,chat_continuation,regret_aware_w1.0_h24,0.4715966471354167,0.1119164280785387,0.5403645833333334,0.06543211671485538,235.33333333333334,33.50124375800596,2055045.3333333333,337126.7442154854,266.6666666666667,51.926229723843164
